Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Talia,NFAPPL-02-IPHONE14=2-48F7415FE2EFBE89F050460A6BBDAA87D7DF55B231548196177E5DE1A3E9A290,Apple iPhone 13 Pro,2023-09-15T12:11:16.144,2025-06-21T08:11:57.184,2025-06-20T05:37:23.812,2025-06-21T08:11:57.184,2024-11-02T10:12:18.760,2025-06-21T08:11:57.184,2025-06-20T05:37:23.812,2025-06-21T08:11:57.184,
Riley ,NFAPPL-02-IPHONE13=2-E715DEC0E0C72C1CE04AF05D92BA92E5FF013E8AFF7DE4362B3AA5D5A7211308,iPhone 12,2025-03-25T15:04:42.492,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-03-25T15:04:42.492,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,
Mum,NFAPPL-02-IPHONE17=1-050E667899CEFF83E51C3824A0C34707BA5B42CC815BBFE00E04EF53F3E9174C,Apple iPhone 16 Pro iPhone,2025-02-16T05:28:48.820,2025-06-18T09:33:39.872,,,2025-06-18T09:33:39.872,2025-06-18T09:33:39.872,,,
Mum,GOOGCAP0010000000000000021414038,Google Chromecast V5 Streaming Stick,2022-05-27T10:22:10.161,2025-06-14T12:16:15.243,,,2022-05-27T10:22:10.161,2025-06-14T12:16:15.243,,,
Mum,NFAPPL-02-IPHONE17=1-36822323A34911B293E13A57B8D5AC47BEB477E05E9026F5B086B9BFE70D2304,Apple iPhone 16 Pro iPhone,2025-06-14T11:18:31.529,2025-06-14T11:18:31.529,,,2025-06-14T11:18:31.529,2025-06-14T11:18:31.529,,,
Josh,NFCDIE-03-LNUFL8YF4J6EQJ3HENRP5228DHV2P4,Edge OSS - Windows (Cadmium),2024-12-14T07:58:04.148,2025-06-08T20:33:09.728,,,2024-12-14T07:58:04.148,2025-06-08T20:33:09.728,,,
Josh,NFCDCH-02-M4CVQXJUYNXN7A8X5CPT2DWVQHLPH3,Chrome PC (Cadmium),2025-06-08T20:15:15.791,2025-06-08T20:25:04.948,,,2025-06-08T20:15:15.791,2025-06-08T20:25:04.948,,,
Talia,NFAPPL-02-IPHONE12=1-0A9BEFA754C360F16D98875D79EA119728E16F26A67815685A939DDE7A06EA0A,Apple iPhone 11,2023-12-13T12:00:33.855,2025-06-06T10:51:43.888,,,2023-12-13T12:00:33.855,2025-06-06T10:51:43.888,,,
Mum,NFAPPL-02-IPHONE12=1-0A9BEFA754C360F16D98875D79EA119728E16F26A67815685A939DDE7A06EA0A,Apple iPhone 11,2023-12-13T12:00:33.855,2025-06-06T10:51:43.888,,,2025-06-02T01:58:32.604,2025-06-02T02:23:37.336,,,
Josh,SSTVNTC1==0000000000000021683652,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,2025-04-22T20:18:56.483,2025-06-10T19:36:25.608,2025-06-10T17:22:02.263,2025-06-10T18:23:32.607,2025-05-19T16:26:05.222,2025-05-19T16:26:29.113,,,
Mum,NFAPPL-02-IPHONE14=2-48F7415FE2EFBE89F050460A6BBDAA87D7DF55B231548196177E5DE1A3E9A290,Apple iPhone 13 Pro,2023-09-15T12:11:16.144,2025-06-21T08:11:57.184,2025-06-20T05:37:23.812,2025-06-21T08:11:57.184,2023-09-15T12:11:16.144,2025-05-18T10:19:03.052,,,
Talia,NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,Google Chromecast Chromecast with GTV 1080P Set Top Box,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-11-25T10:34:49.275,2025-05-02T12:12:45.588,2024-06-15T09:46:46.681,2025-05-02T11:24:45.544,
Josh,SSTV-KUE1-0000000000000023918116,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,2025-04-21T19:33:01.375,2025-05-09T20:49:14.710,2025-04-21T19:33:15.427,2025-05-09T19:03:26.003,2025-04-23T19:51:26.352,2025-04-23T20:24:48.440,2025-04-23T19:59:28.939,2025-04-23T20:24:48.440,
Mum,SSTVNTC1==0000000000000021683652,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,2025-04-22T20:18:56.483,2025-06-10T19:36:25.608,2025-06-10T17:22:02.263,2025-06-10T18:23:32.607,2025-04-22T20:18:56.483,2025-04-23T20:21:46.964,,,
Riley ,NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,Google Chromecast Chromecast with GTV 1080P Set Top Box,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2024-09-14T12:45:21.190,2025-04-22T18:40:31.313,2024-09-14T12:48:16.252,2025-04-20T13:57:37.521,
Mum,SSTV-KUE1-0000000000000023918116,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,2025-04-21T19:33:01.375,2025-05-09T20:49:14.710,2025-04-21T19:33:15.427,2025-05-09T19:03:26.003,2025-04-21T19:33:01.375,2025-04-21T19:33:23.435,2025-04-21T19:33:15.427,2025-04-21T19:33:15.427,
Josh,NFAPPL-02-IPHONE14=5-68191CF2C6994A1F2B4B90C75255DCCAFFB6E01094FE98533EC36BFE81A6920B,Apple iPhone 13,2023-11-12T13:16:31.612,2025-04-21T17:04:51.984,,,2023-11-12T13:16:31.612,2025-04-21T17:04:51.984,,,
