Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,tvui,movieDetails,,,2025-06-05 07:13:31
Dad,tvui,movieDetails,,,2025-06-05 06:20:16
Dad,tvui,playback,,,2025-06-05 06:20:16
Dad,tvui,playback,,,2025-06-05 06:12:03
Dad,tvui,movieDetails,,,2025-06-05 06:12:03
Dad,tvui,playback,,,2025-06-05 05:46:31
Dad,tvui,postPlay,,,2025-06-05 05:46:31
Dad,tvui,playback,,,2025-06-05 05:46:30
Dad,tvui,postPlay,,,2025-06-05 05:46:30
Dad,tvui,movieDetails,,,2025-06-05 05:25:45
Dad,tvui,playback,,,2025-06-05 05:25:45
Dad,tvui,browseTitles,,,2025-06-05 05:25:42
Dad,tvui,movieDetails,,,2025-06-05 05:25:42
Dad,tvui,profilesGate,,,2025-06-05 05:23:14
Dad,tvui,browseTitles,,,2025-06-05 05:23:14
Dad,tvui,profilesGate,,,2025-06-05 05:23:06
Dad,iOS,browseTitles,,,2025-06-05 02:39:19
Dad,iOS,profilesGate,,,2025-06-05 02:39:19
Dad,iOS,profilesGate,,,2025-06-05 02:39:18
Dad,tvui,movieDetails,,,2025-06-04 12:45:29
Dad,tvui,profilesGate,,,2025-06-04 12:45:29
Dad,tvui,playback,,,2025-06-04 12:15:29
Dad,tvui,movieDetails,,,2025-06-04 12:15:29
Dad,tvui,postPlay,,,2025-06-04 12:01:54
Dad,tvui,playback,,,2025-06-04 12:01:54
Dad,tvui,playback,,,2025-06-04 12:01:48
Dad,tvui,postPlay,,,2025-06-04 12:01:48
Dad,tvui,movieDetails,,,2025-06-04 11:29:24
Dad,tvui,playback,,,2025-06-04 11:29:24
Dad,tvui,browseTitles,,,2025-06-04 11:29:22
Dad,tvui,movieDetails,,,2025-06-04 11:29:22
Dad,tvui,movieDetails,,,2025-06-04 11:26:15
Dad,tvui,browseTitles,,,2025-06-04 11:26:15
Dad,tvui,movieDetails,,,2025-06-04 11:26:11
Dad,tvui,playback,,,2025-06-04 11:26:11
Dad,tvui,movieDetails,,,2025-06-04 10:49:31
Dad,tvui,playback,,,2025-06-04 10:49:31
Dad,tvui,browseTitles,,,2025-06-04 10:49:29
Dad,tvui,movieDetails,,,2025-06-04 10:49:29
Dad,tvui,movieDetails,,,2025-06-04 10:46:22
Dad,tvui,browseTitles,,,2025-06-04 10:46:22
Dad,tvui,browseTitles,,,2025-06-04 10:46:16
Dad,tvui,movieDetails,,,2025-06-04 10:46:16
Dad,tvui,browseTitles,,,2025-06-04 10:45:51
Dad,tvui,movieDetails,,,2025-06-04 10:45:51
Dad,tvui,profilesGate,,,2025-06-04 10:45:48
Dad,tvui,movieDetails,,,2025-06-04 10:45:48
Dad,tvui,screenSaver,,,2025-06-04 10:36:17
Dad,tvui,profilesGate,,,2025-06-04 10:36:17
Dad,tvui,screenSaver,,,2025-06-04 10:36:15
Dad,tvui,profilesGate,,,2025-06-04 10:36:15
Dad,tvui,screenSaver,,,2025-06-04 10:36:15
Dad,tvui,profilesGate,,,2025-06-04 10:36:15
Dad,tvui,profilesGate,,,2025-06-04 10:26:12
Dad,tvui,screenSaver,,,2025-06-04 10:26:12
Dad,tvui,profilesGate,,,2025-06-04 10:21:12
Dad,iOS,browseTitles,,,2025-06-04 09:21:31
Dad,iOS,profilesGate,,,2025-06-04 09:21:31
Dad,iOS,profilesGate,,,2025-06-04 09:21:30
Dad,tvui,movieDetails,,,2025-06-04 07:19:47
Dad,tvui,profilesGate,,,2025-06-04 07:19:47
Dad,tvui,playback,,,2025-06-04 06:49:46
Dad,tvui,movieDetails,,,2025-06-04 06:49:46
Dad,tvui,movieDetails,,,2025-06-04 04:51:48
Dad,tvui,playback,,,2025-06-04 04:51:48
Dad,tvui,movieDetails,,,2025-06-04 04:51:45
Dad,tvui,browseTitles,,,2025-06-04 04:51:45
Dad,tvui,profilesGate,,,2025-06-04 04:51:26
Dad,tvui,browseTitles,,,2025-06-04 04:51:26
Dad,iOS,profilesGate,,,2025-06-04 04:41:00
Dad,iOS,profilesGate,,,2025-06-04 04:41:00
Dad,iOS,browseTitles,,,2025-06-04 04:41:00
Dad,www,profilesGate,,/browse,2025-06-04 04:29:57
Dad,www,browseTitles,,/browse,2025-06-04 04:29:57
Dad,iOS,movieDetails,,,2025-06-03 23:36:53
Dad,iOS,search,,,2025-06-03 23:36:52
Dad,iOS,search,,,2025-06-03 23:36:44
Dad,iOS,showDetails,,,2025-06-03 23:36:44
Dad,iOS,profilesGate,,,2025-06-03 23:36:32
Dad,iOS,browseTitles,,,2025-06-03 23:36:32
Dad,iOS,profilesGate,,,2025-06-03 23:36:31
Dad,iOS,profilesGate,,,2025-06-03 03:15:29
Dad,iOS,browseTitles,,,2025-06-03 03:15:29
Dad,iOS,profilesGate,,,2025-06-03 03:15:28
Dad,tvui,profilesGate,,,2025-06-02 11:23:50
Dad,tvui,browseTitles,,,2025-06-02 08:20:50
Dad,tvui,profilesGate,,,2025-06-02 08:20:50
Dad,tvui,screenSaver,,,2025-06-02 08:05:59
Dad,tvui,browseTitles,,,2025-06-02 08:05:59
Dad,tvui,screenSaver,,,2025-06-02 08:05:55
Dad,tvui,browseTitles,,,2025-06-02 08:05:55
Dad,tvui,screenSaver,,,2025-06-02 08:05:55
Dad,tvui,browseTitles,,,2025-06-02 08:05:55
Dad,tvui,browseTitles,,,2025-06-02 07:55:50
Dad,tvui,screenSaver,,,2025-06-02 07:55:50
Dad,tvui,movieDetails,,,2025-06-02 07:44:45
Dad,tvui,browseTitles,,,2025-06-02 07:44:45
Dad,tvui,browseTitles,,,2025-06-02 07:44:39
Dad,tvui,movieDetails,,,2025-06-02 07:44:39
Dad,tvui,profilesGate,,,2025-06-02 07:40:52
Dad,tvui,profilesGate,,,2025-06-02 07:40:52
Dad,tvui,browseTitles,,,2025-06-02 07:40:52
Dad,tvui,profilesGate,,,2025-06-02 07:40:25
Dad,iOS,profilesGate,,,2025-06-02 05:05:13
Dad,iOS,browseTitles,,,2025-06-02 05:05:13
Dad,iOS,profilesGate,,,2025-06-02 05:05:13
Dad,iOS,profilesGate,,,2025-06-01 04:42:24
Dad,iOS,browseTitles,,,2025-06-01 04:42:24
Dad,iOS,profilesGate,,,2025-06-01 04:42:24
Dad,tvui,myListGallery,,,2025-05-31 06:41:27
Dad,tvui,profilesGate,,,2025-05-31 06:41:27
Dad,tvui,myListGallery,,,2025-05-31 06:11:18
Dad,tvui,movieDetails,,,2025-05-31 06:11:18
Dad,tvui,myListGallery,,,2025-05-31 06:11:13
Dad,tvui,movieDetails,,,2025-05-31 06:11:13
Dad,tvui,movieDetails,,,2025-05-31 06:10:44
Dad,tvui,myListGallery,,,2025-05-31 06:10:44
Dad,tvui,episodesSelector,,,2025-05-31 06:10:42
Dad,tvui,movieDetails,,,2025-05-31 06:10:42
Dad,tvui,movieDetails,,,2025-05-31 06:10:39
Dad,tvui,episodesSelector,,,2025-05-31 06:10:39
Dad,tvui,myListGallery,,,2025-05-31 06:10:37
Dad,tvui,movieDetails,,,2025-05-31 06:10:37
Dad,tvui,myListGallery,,,2025-05-31 06:10:10
Dad,tvui,movieDetails,,,2025-05-31 06:10:10
Dad,tvui,myListGallery,,,2025-05-31 06:10:04
Dad,tvui,movieDetails,,,2025-05-31 06:10:04
Dad,tvui,myListGallery,,,2025-05-31 06:10:00
Dad,tvui,movieDetails,,,2025-05-31 06:10:00
Dad,tvui,myListGallery,,,2025-05-31 06:09:55
Dad,tvui,movieDetails,,,2025-05-31 06:09:55
Dad,tvui,browseTitles,,,2025-05-31 06:09:48
Dad,tvui,myListGallery,,,2025-05-31 06:09:48
Dad,tvui,movieDetails,,,2025-05-31 06:09:40
Dad,tvui,browseTitles,,,2025-05-31 06:09:40
Dad,tvui,postPlay,,,2025-05-31 06:09:38
Dad,tvui,movieDetails,,,2025-05-31 06:09:38
Dad,tvui,movieDetails,,,2025-05-31 06:09:37
Dad,tvui,postPlay,,,2025-05-31 06:09:37
Dad,tvui,episodesSelector,,,2025-05-31 06:09:34
Dad,tvui,movieDetails,,,2025-05-31 06:09:34
Dad,tvui,movieDetails,,,2025-05-31 06:09:29
Dad,tvui,episodesSelector,,,2025-05-31 06:09:29
Dad,tvui,postPlay,,,2025-05-31 06:09:26
Dad,tvui,movieDetails,,,2025-05-31 06:09:26
Dad,tvui,playback,,,2025-05-31 06:07:57
